# VITESS 3.7  Trajectories module EventsOut 1.15  VITESS-Format
# 2026-04-09 15:06:53  
# VITESS simulation   
#    TOF    lambda   count_rate    pos_x     pos_y    pos_z     dir_x     dir_y     dir_z  
  26.21254  2.59880   5.666e-13     0.1023   0.4810   0.0904   0.225062  0.739075  0.634913
  35.17579  3.48721   1.758e-13    -0.1706  -0.4544  -0.1200   0.206808 -0.826584 -0.523439
  22.62442  2.24314   2.046e-12    -0.1839   0.4645   0.0215   0.134729  0.979423 -0.150262
  12.73798  1.26292   9.617e-12     0.4475  -0.0030   0.2229   0.841301 -0.224435  0.491774
   8.15976  0.80904   3.342e-12     0.3258   0.2858   0.2494   0.500371  0.536702  0.679397
  43.53342  4.31601   3.309e-14     0.4285  -0.2571  -0.0179   0.267618 -0.593998 -0.758649
  32.99700  3.27146   2.020e-13     0.4263   0.2605   0.0209   0.759016  0.630013 -0.164251
  32.98829  3.26991   2.182e-13     0.4916  -0.0113  -0.0904   0.997872 -0.060997 -0.023038
  19.27577  1.91110   1.906e-15    -0.4796  -0.0767  -0.1187  -0.989027 -0.065997  0.132174
  16.19155  1.60540   5.833e-12    -0.0255  -0.2131   0.4516   0.279629 -0.086217  0.956229
  22.40988  2.22173   1.008e-12    -0.3511   0.3516   0.0558  -0.981348 -0.068796  0.179508
  27.81770  2.75789   4.643e-13     0.4554   0.2017   0.0443   0.140299  0.969344  0.201716
  22.24894  2.20606   1.465e-12     0.1380   0.0994  -0.4702   0.256916  0.392874 -0.882975
  13.79975  1.36820   4.029e-12     0.4316   0.2515   0.0220   0.999945 -0.010164 -0.002630
  42.83952  4.24764   5.517e-14     0.2350  -0.1025  -0.4293   0.156220 -0.876629 -0.455102
  18.45288  1.82955   2.205e-12    -0.1735   0.0766  -0.4626  -0.997318 -0.023339 -0.069374
  26.28041  2.60561   1.248e-12    -0.4658  -0.0195  -0.1807  -0.951551  0.095710  0.292216
  30.31827  3.00605   4.120e-13     0.3023   0.2896   0.2734   0.800226  0.585732  0.128675
  28.21406  2.79745   4.897e-13     0.1901  -0.1658  -0.4317  -0.584266 -0.170882 -0.793368
  17.33627  1.71885   4.546e-12    -0.2430  -0.2398   0.3653  -0.600323 -0.113507  0.791662
  30.33970  3.00841   1.227e-13     0.0261   0.1024   0.4887   0.434473 -0.817265  0.378565
  42.20690  4.18417   2.141e-14     0.4200   0.2186   0.1608   0.222689  0.556961  0.800128
  29.58330  2.93307   4.872e-13     0.0923   0.3684   0.3253   0.881787  0.471263 -0.019068
  27.83609  2.75988   5.867e-13     0.3963   0.0920  -0.2907   0.918947  0.335062 -0.208014
  29.94500  2.96909   4.365e-13    -0.2590  -0.4277  -0.0013  -0.940965  0.098107 -0.323975
